65.000;60.000;12.868
65.000;60.000;15.729
65.000;60.000;12.124
70.000;60.000;7.854
70.000;60.000;7.339
70.000;60.000;7.788
80.000;60.000;6.551
80.000;60.000;7.233
80.000;60.000;6.986
90.000;60.000;6.984
90.000;60.000;6.963
90.000;60.000;6.680
100.000;60.000;6.735
100.000;60.000;7.282
100.000;60.000;6.714
110.000;60.000;6.532
110.000;60.000;6.777
110.000;60.000;6.837
120.000;60.000;7.357
120.000;60.000;6.543
120.000;60.000;6.575
130.000;60.000;6.332
130.000;60.000;6.025
130.000;60.000;6.547
140.000;60.000;6.521
140.000;60.000;6.210
140.000;60.000;6.375
150.000;60.000;6.849
150.000;60.000;6.852
150.000;60.000;6.373
160.000;60.000;6.360
160.000;60.000;6.073
160.000;60.000;6.168
170.000;60.000;6.210
170.000;60.000;6.245
170.000;60.000;6.050
180.000;60.000;5.892
180.000;60.000;6.047
180.000;60.000;6.145
190.000;60.000;6.432
190.000;60.000;6.176
190.000;60.000;6.430
200.000;60.000;6.716
200.000;60.000;6.166
200.000;60.000;6.291
210.000;60.000;6.735
210.000;60.000;5.702
220.000;60.000;6.052
220.000;60.000;6.165
220.000;60.000;6.148
225.000;60.000;6.402
225.000;60.000;5.972
225.000;60.000;6.343
230.000;60.000;6.221
230.000;60.000;5.689
230.000;60.000;6.267
235.000;60.000;6.327
235.000;60.000;5.904
235.000;60.000;6.460
240.000;60.000;6.812
240.000;60.000;6.143
240.000;60.000;6.075
245.000;60.000;5.671
245.000;60.000;6.237
245.000;60.000;6.368
250.000;60.000;6.025
250.000;60.000;6.134
250.000;60.000;6.424
255.000;60.000;6.066
255.000;60.000;6.494
255.000;60.000;5.863
260.000;60.000;6.114
260.000;60.000;5.961
260.000;60.000;6.099
265.000;60.000;5.970
265.000;60.000;5.976
265.000;60.000;6.488
270.000;60.000;6.345
270.000;60.000;5.893
270.000;60.000;6.386
275.000;60.000;6.280
275.000;60.000;6.395
275.000;60.000;6.389
280.000;60.000;5.767
280.000;60.000;6.246
280.000;60.000;6.185
285.000;60.000;5.922
285.000;60.000;6.010
285.000;60.000;6.464
290.000;60.000;5.525
290.000;60.000;6.211
290.000;60.000;6.434
295.000;60.000;6.244
295.000;60.000;6.283
295.000;60.000;6.352
300.000;60.000;6.260
300.000;60.000;6.017
300.000;60.000;6.076
310.000;60.000;5.861
310.000;60.000;5.823
310.000;60.000;6.266
320.000;60.000;6.389
320.000;60.000;5.943
320.000;60.000;6.255
330.000;60.000;6.290
330.000;60.000;6.013
